{'time': 1618354507429, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507480, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507506, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507519, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507561, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507564, 'event': 'Mouse over geomap', 'target': 'Navajo'}
{'time': 1618354507579, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507583, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507595, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507606, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507617, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507629, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507641, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507656, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507665, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507744, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507763, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507774, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507787, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507798, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507809, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507820, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354507831, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354508044, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509619, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509629, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509641, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509657, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509670, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509691, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509708, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509723, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509730, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509740, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509745, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509770, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509779, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509794, 'event': 'Mouse over geomap', 'target': 'Apache'}
{'time': 1618354509804, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354509811, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354509830, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354509835, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354509913, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354509926, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354509937, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354509951, 'event': 'Mouse over geomap', 'target': 'McKinley'}
{'time': 1618354509971, 'event': 'Mouse over geomap', 'target': 'McKinley'}
